PriorityRank,Keyword,AdPotentialScore,Tier,HitConfidence,ExpectedAdType,AdSignal,CPC,Volume,Intents,SERP Features,Category,Source Batch,sc_AdPresence,sc_CPC,sc_Intent,sc_Volume,sc_Lexical
61,outdoor rugs online,74,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.40 | Transactional+Commercial+Local,1.4,100,"Informational,Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Paid sitelinks,Shopping,Sitelinks,Bottom ads",Carpets; Department stores,Batch 3 (3D printer),45,15,11,3,0
62,car hire cairns,74,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $1.30 | Transactional+Commercial+Local,1.3,6400,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,Local pack,Paid sitelinks,Bottom ads",Car,Batch 5 (AAMI insurance),36,15,12,5,6
63,brochure printing,74,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $1.10 | Transactional+Commercial+Local,1.1,700,"Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Local pack,Sitelinks,People also ask,Video preview,Bottom ads,Paid sitelinks",Printing,Batch 2 (24hr accountant),45,15,11,3,0
64,mattresses for sale,74,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $0.80 | Transactional+Commercial+Local,0.8,500,"Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Knowledge panel,Shopping,Sitelinks,People also ask,Bottom ads,Paid sitelinks",Shopping portals,Batch 3 (3D printer),45,15,11,3,0
65,youi quote,73,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $8.00 | Transactional+Commercial+Local,8.0,3100,"Navigational,Commercial,Transactional,Branded,Non-local","Top ads,Paid sitelinks,People also ask,Video preview",Home insurance; Vehicle insurance,Batch 5 (AAMI insurance),27,30,11,5,0
66,plumber local,73,A - Prime,Very High,Text ads,SERP: Top ads | CPC $8.00 | Transactional+Commercial+Local,8.0,150,"Informational,Commercial,Transactional,Non-branded,Local","Top ads,People also ask",Plumbing,Batch 2 (24hr accountant),20,30,12,3,8
67,burst pipe repair,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $7.00 | Commercial+Local,7.0,600,"Informational,Commercial,Non-branded,Non-local","AI Overview,Thumbnail,Top ads,Videos,People also ask,Local pack,Bottom ads,Video preview,Paid sitelinks,Image pack",Plumbing,Batch 2 (24hr accountant),36,30,4,3,0
68,plantation shutters quote,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $7.00 | Transactional+Commercial+Local,7.0,100,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Sitelinks,People also ask,Bottom ads",Window treatments,Batch 2 (24hr accountant),29,30,11,3,0
69,health insurance premium,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $6.00 | Local,6.0,200,"Informational,Non-branded,Non-local","Top ads,Paid sitelinks,People also ask,Bottom ads",Health insurance,Batch 5 (AAMI insurance),36,26,0,3,8
70,weekend plumber,73,A - Prime,Very High,Text ads,SERP: Top ads+Paid sitelinks | CPC $6.00 | Transactional+Commercial+Local,6.0,80,"Informational,Commercial,Transactional,Non-branded,Non-local","Top ads,Paid sitelinks,Local pack,People also ask",Plumbing,Batch 2 (24hr accountant),27,26,11,1,8
71,corporate lawyer,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.50 | Local,3.5,900,"Informational,Non-branded,Non-local","AI Overview,Thumbnail,Top ads,People also ask,Bottom ads,Paid sitelinks,Knowledge panel,Video preview",Planning; Business,Batch 2 (24hr accountant),36,26,0,3,8
72,dentist sunshine coast,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.50 | Local,3.5,500,"Informational,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Dental care,Batch 2 (24hr accountant),36,26,0,3,8
73,perth dentist,73,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads+Paid sitelinks | CPC $3.50 | Local,3.5,450,"Informational,Non-branded,Local","Top ads,Paid sitelinks,Local pack,People also ask,Bottom ads",Dental care,Batch 2 (24hr accountant),36,26,0,3,8
74,dog food delivery,73,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Paid sitelinks+Shopping Ads | CPC $3.00 | Commercial+Local,3.0,800,"Informational,Commercial,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,AI Overview,People also ask,Knowledge panel,Paid sitelinks,Bottom ads,Video preview,Sitelinks",Grocery delivery,"Batch 1 (1-7,100+,accessories)",45,21,4,3,0
75,loungewear,73,A - Prime,Very High,Both (text + shopping),SERP: Top ads+Bottom ads+Shopping Ads | CPC $0.80 | Transactional+Commercial+Local,0.8,10000,"Informational,Commercial,Transactional,Non-branded,Non-local","Shopping Ads,Thumbnail,Top ads,Sitelinks,Shopping,Video preview,Bottom ads",Sleepwear,"Batch 1 (1-7,100+,accessories)",42,15,11,5,0
76,plumber in my area,72,A - Prime,Very High,Text ads,SERP: Top ads+Bottom ads | CPC $4.50 | Commercial+Local,4.5,150,"Informational,Commercial,Non-branded,Local","Top ads,Local pack,People also ask,Bottom ads",Plumbing,Batch 2 (24hr accountant),29,26,6,3,8
